epoch,accuracy,loss,val_accuracy,val_loss
0,0.8190008401870728,0.5085362195968628,0.010493808425962925,nan
1,0.8854174017906189,0.27542173862457275,0.010493808425962925,nan
2,0.9018805027008057,0.227763369679451,0.010523791424930096,nan
3,0.9243172407150269,0.16376210749149323,0.0119929239153862,nan
4,0.9308295845985413,0.14638301730155945,0.010493808425962925,nan
5,0.9339320659637451,0.13743743300437927,0.009804215282201767,nan
6,0.9424440860748291,0.11519421637058258,0.5050220489501953,2.5853376388549805
7,0.9448398947715759,0.1086392030119896,0.04398404806852341,18.359310150146484
8,0.945819079875946,0.10639876127243042,0.3152639865875244,4.55354642868042
9,0.948988139629364,0.09757868200540543,0.7941414713859558,0.8084598779678345
10,0.9509212374687195,0.09401392936706543,0.29193776845932007,5.578421115875244
11,0.9516564607620239,0.09228271245956421,0.42080172896385193,4.090441703796387
12,0.953513503074646,0.08803831785917282,0.6022247076034546,4.429121971130371
13,0.9545719623565674,0.08657822012901306,0.8501184582710266,0.6343939304351807
